gvkey,iid,datadate,tic,cshtrm,prccm,trt1m,cmth,cshom,cyear,gind,gsector
002312,01,2017-10-31,RHI,24517009.0000,51.7700,2.8407,10,126184000,2017,202020,20
002312,01,2017-11-30,RHI,18236849.0000,57.0400,10.6432,11,125350000,2017,202020,20
002312,01,2017-12-31,RHI,17731328.0000,55.5400,-2.6297,12,125350000,2017,202020,20
002312,01,2018-01-31,RHI,19388789.0000,57.8800,4.2132,1,125350000,2018,202020,20
002312,01,2018-02-28,RHI,27679234.0000,57.0700,-0.9157,2,124262000,2018,202020,20
002312,01,2018-03-31,RHI,24924804.0000,57.8900,1.4368,3,124262000,2018,202020,20
002312,01,2018-04-30,RHI,26553768.0000,60.7500,4.9404,4,123632000,2018,202020,20
002312,01,2018-05-31,RHI,23234599.0000,63.6800,5.2840,5,123563000,2018,202020,20
002312,01,2018-06-30,RHI,24375392.0000,65.1000,2.2299,6,123563000,2018,202020,20
002312,01,2018-07-31,RHI,23385100.0000,75.7600,16.3748,7,123563000,2018,202020,20
002312,01,2018-08-31,RHI,23665208.0000,78.1800,3.5639,8,122445000,2018,202020,20
002312,01,2018-09-30,RHI,27104855.0000,70.3800,-9.9770,9,122445000,2018,202020,20
